PRICING_EFFECTIVE_DATE,PRICING_END_DATE,SALES_CHANNEL_TYPE,CUSTOMER_TYPE_CODE,ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,915470,COTES DU RHONE - DELAS ST ESPRIT 2017,3.35995E+12,0.75,1,14,24.99,0
2021-03-04 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,70860,TOSCANA CABERNET FRANC - POGGIO ARGENTIERA POGGIO RASO 2018,8.03277E+12,0.75,1,15,51.99,0
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Tequila,Gold Tequila,MEXICO,78002,GRAN CENTENARIO ANEJO,8.11538E+11,0.75,1,40,55.99,NA
2023-10-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Germany Wine,Germany White Wine,GERMANY,130153,NIERSTEINER KABINETT - ST URSULA GOLDEN OKTOBER,4.0023E+12,0.75,1,9.5,13.99,2
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,351803,BOLGHERI SUPERIORE - ORNELLAIA 2018,8.18201E+11,6,1,14,2875,NA
2023-08-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,371615,ST JULIEN - CHATEAU LEOVILLE POYFERRE 2020,,0.75,1,14,225,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,371763,ST EMILION - CHATEAU ANGELUS 2020,3.32816E+12,0.75,1,13,1000,NA
2024-01-12 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Grape and Fruit Brandy,Cognac,FRANCE,376197,COURVOISIER - VSOP YINKA ILORI,3.0492E+12,0.7,1,40,214.99,NA
2020-01-26 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,759944,CHATEAU COS D'ESTOURNEL 2006,,0.75,1,13,215.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Australia Wine,Australia Red Wine,AUSTRALIA,761742,SHIRAZ - LAYER CAKE,8.96599E+11,0.75,1,14.9,29.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,900118,MOLSON CANADIAN,56327072558,0.341,12,5,25.49,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Fortified Wine,Other Fortified Import Wine,ITALY,18945,FLORIO - MARSALA SUPERIOR DOLCE VECCHIOFLORIO 2015,8.91006E+11,0.75,1,18,20.99,10
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Vodka,Straight Vodka,UKRAINE,62180,NEMIROFF - DELUXE VODKA,4.82018E+12,0.75,1,40,31.99,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,92420,MACALLAN - EDITION NO.6,8.12066E+11,0.75,1,48.6,180.99,NA
2021-08-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,97929,MOULIS - CHATEAU POUJEAUX 2018,,0.75,1,13,75,NA
2022-07-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,161305,CALIFORNIA RED - BLOSSOM HILL,80720930023,0.75,1,12.5,10.99,0
2023-10-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,163507,CABERNET SAUVIGNON - MT BRAVE NAPA MOUNT VEEDER,6.2699E+11,0.75,1,14.5,174.99,0
2023-10-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,176441,BASIL HAYDEN - 10 YEAR OLD,80686012207,0.75,1,40,79.99,NA
